Ethnicity,Eth10,Eth5
Aboriginal,8,3
Afghanistan,1,1
African,2,2
African Arabic,2,2
African Carribean,2,2
Afro-caribbean,2,2
Afro caribbean,2,2
Afro carribean,2,2
Afrocaribbean,2,2
Afrocarribean,2,2
Albanian,0,0
Algerian,5,3
Any other group,9,3
Arab,5,3
Arabic,5,3
Arabic (Palestinian),5,3
Arabic (sudanese),5,3
Arabic: Egyptian,5,3
Argentinian,4,3
Aryan,0,0
Ashkenazi,9,3
Ashkenazi Jew,9,3
Ashkenazi Jewish,9,3
Asian,1,1
Asian (Bangladesh),1,1
Asian (Bangladeshi),1,1
Asian (British Pakistani),1,1
Asian (Fllipino),1,1
Asian (Indian),1,1
Asian (Iranian),1,1
Asian (Iraqi),1,1
Asian (Kurdistan),1,1
Asian (Nepalese),1,1
Asian (Pakistani),1,1
Asian (Palestinian),5,3
Asian (South Asian),1,1
Asian (South East),3,3
Asian (Sri Lankan),1,1
Asian (Thai),3,3
Asian (Turkish),0,0
Asian (Vietnamese),3,3
Asian British,6,4
Asian Indian,1,1
Asian Sindhi,1,1
Asian Sri Lankan,1,1
Asian/Indian,1,1
Australian,0,0
Baloch,1,1
Bangladeshi,1,1
Bengali,1,1
Black,2,2
Black (African),2,2
Black (Afro-Carribbean),2,2
Black (British),2,2
Black (Caribbean),2,2
Black (Carribbean),2,2
Black (Sudanese),2,2
Black African,2,2
Black British,2,2
Black Caribbean,2,2
Black Carribean,2,2
Brazil,9,3
Brazilian,9,3
British,0,0
British Bangladeshi,1,1
British Indian,1,1
British Pakistani,1,1
Bulgarian,0,0
Canadian first nation,7,3
Caribbean,2,2
Caribean,2,2
carribean,2,2
Carribean,2,2
Caucasian,0,0
Central American,4,3
Chinese,3,3
Chinese (Hong Kong),3,3
Cook Island MéÅori,8,3
Cuban/black,2,2
Czech,0,0
Duch/Native American,7,3
Dutch,0,0
Eastern European,0,0
Ecuador,2,2
Egyptian,5,3
English,0,0
Eritrea,2,2
Eritrean,2,2
Ethiopian,2,2
Etrtia,2,2
European,0,0
Fijian,8,3
Fijian Indian,6,4
Filipino,1,1
Finnish,0,0
French Canadian,0,0
German,0,0
Greek,0,0
Gwamaa,2,2
Hispanic,4,3
Hungarian,0,0
Icelandic,0,0
indian,1,1
Indian,1,1
INDIAN,1,1
Indian/White mixed,6,4
Indonesian,8,3
Intalian/Maltese/British,0,0
Iran,1,1
Iranian,1,1
Iraqi,5,3
Irish,0,0
Irish White,0,0
Italian,0,0
Japanese,3,3
Jewish,9,3
Jordan,5,3
Kinh,3,3
Kinh Ethnic,3,3
Korean,3,3
Kurdish,5,3
Kurdistan,5,3
Latin American,4,3
Lebanese,5,3
Libya,5,3
Malayan,1,1
Maltese,0,0
Maori,8,3
MéÅori,8,3
Mauritian,2,2
Maurtian,2,2
Mexican,4,3
Middle Eastern,5,3
Mixed,6,4
Mixed - White & Israeli,6,4
Mixed (Asian-Indian/British Indian),6,4
Mixed (Eastern Euro and Iraqi),6,4
Mixed (English-Indonesian),6,4
"Mixed (European, Chinese)",6,4
Mixed (Fijian-Indian),6,4
Mixed (Filippino/Irish),6,4
Mixed (Half Jamacain),6,4
Mixed (Mauritian/Punjabi Indian),6,4
Mixed (White & Black),6,4
Mixed (White & Hispanic),6,4
Mixed (White African),6,4
Mixed (white/Indigenous Canadian),6,4
Mixed Ashkenazi - Argentina,6,4
Mixed black & white,6,4
Mixed english and pakistan,6,4
Mixed white & black caribbean,6,4
Mixed white asian,6,4
Mixed: White-Asian,6,4
Moldovan,0,0
N Irish,0,0
N/A,10,5
Nepalese,1,1
New Zealand,8,3
New Zealander,8,3
Nigerian,2,2
Niuean,8,3
Non-white,10,5
North African,2,2
North American,0,0
Northern European,0,0
Norwegian/French/Ukrainian,0,0
Not known,10,5
not sated,10,5
Not sated,10,5
not stated,10,5
Not stated,10,5
Not Stated,10,5
Not Stated (African),10,5
Not Stated (British Bangladeshi),10,5
Not Stated (British Indian),10,5
Not Stated (British),10,5
Not Stated (Greek),10,5
Not Stated (Iranian),10,5
Not stated (Maori),10,5
Not Stated (Mauritian),10,5
Not Stated (Moroccan),10,5
Not Stated (Polish),10,5
Not Stated (Somalian),10,5
Not Stated (Spanish),10,5
Not Stated (Swedish),10,5
nto stated,10,5
NZ European,6,4
Other Asian,9,3
Other Mixed,6,4
Other White,0,0
Other White Background,0,0
Pacifika,8,3
Pakistan,1,1
Pakistani,1,1
Palestinian,5,3
Pashto,1,1
Persian,5,3
Philipinnes,8,3
Phillipines,8,3
Phillipino,8,3
Polish,0,0
Polynesian,8,3
Polynesian (Maori),8,3
Polynesian (Tongan),8,3
Portuguese,0,0
Romani Gypsy,0,0
Romanian,0,0
Samoan,8,3
Saraiki,1,1
SE Asian,1,1
Sikh,1,1
Singapore,3,3
Somali,2,2
Somalia,2,2
Somalian,2,2
South African,2,2
South American,7,3
South American/Portuguese,7,3
South Asian,1,1
South East Asian,3,3
Southern European,0,0
Spanish,0,0
Sri Lankan,1,1
Sri Lankan Asian,1,1
Sri Lanken,1,1
Srilankan,1,1
Sudanese,5,3
Sudanese/British,6,4
Swedish,0,0
Syrian,5,3
Thai,3,3
Tongan,8,3
Turkish,0,0
Turkish Cypriot,0,0
Turkish/Greek,0,0
Turksih,0,0
UK,0,0
Ukrainian,0,0
Ukranian,0,0
Unknown,10,5
white,0,0
White,0,0
White & Asian,6,4
White & black,6,4
White & Black African,6,4
White & Black Carribean,6,4
White (albanaian),0,0
White (Albanian),0,0
White (Ashkenazi Jewish),0,0
White (Australian-Polish European),0,0
White (Australian European),0,0
White (Australian),0,0
White (british),0,0
White (British),0,0
White (Eastern European),0,0
White (Egyptian),0,0
White (english),0,0
White (greek),0,0
White (Hungarian),0,0
White (Irish),0,0
White (New Zealand European),0,0
White (Nothern Irish),0,0
White (NZ European),0,0
White (Scottish),0,0
White (south african),0,0
White (Venezualan),0,0
White American,0,0
White british,0,0
White British,0,0
White Caucasian,0,0
White Ireland,0,0
White Irish,0,0
White Italian,0,0
White Middle Eastern,0,0
whtie,0,0
Whtie,0,0
NA,10,5
